home;away;date;gh;ga;full_time;home_ident;away_ident;winner;year;month
Paysandu FC;Tacuarembo Futbol Club;15/06/2001;2;2;F;Paysandu FC (Uruguay);Tacuarembo Futbol Club (Uruguay);E;2001;6
Rocha Futbol Club;CA Penarol;16/06/2001;3;2;F;Rocha Futbol Club (Uruguay);CA Penarol (Uruguay);L;2001;6
Bella Vista;Defensor Sporting;17/06/2001;1;3;F;Bella Vista (Uruguay);Defensor Sporting (Uruguay);V;2001;6
CA Juventud;Nacional;17/06/2001;0;2;F;CA Juventud (Uruguay);Nacional (Uruguay);V;2001;6
Cerro Largo FC;Racing Club;17/06/2001;0;1;F;Cerro Largo FC (Uruguay);Racing Club (Uruguay);V;2001;6
Danubio;Club Social Y Deportivo Huracan Buceo;17/06/2001;3;1;F;Danubio (Uruguay);Club Social Y Deportivo Huracan Buceo (Uruguay);L;2001;6
Deportivo Maldonado;Central Espanol;17/06/2001;1;5;F;Deportivo Maldonado (Uruguay);Central Espanol (Uruguay);V;2001;6
Montevideo Wanderers;CA Fenix;17/06/2001;1;1;F;Montevideo Wanderers (Uruguay);CA Fenix (Uruguay);E;2001;6
Rentistas;River Plate;17/06/2001;2;1;F;Rentistas (Uruguay);River Plate (Uruguay);L;2001;6
Montevideo Wanderers;Danubio;01/08/2001;0;2;F;Montevideo Wanderers (Uruguay);Danubio (Uruguay);V;2001;8
Nacional;CA Fenix;01/08/2001;2;1;F;Nacional (Uruguay);CA Fenix (Uruguay);L;2001;8
Bella Vista;Defensor Sporting;02/08/2001;1;2;F;Bella Vista (Uruguay);Defensor Sporting (Uruguay);V;2001;8
CA Penarol;CA Juventud;02/08/2001;2;0;F;CA Penarol (Uruguay);CA Juventud (Uruguay);L;2001;8
Paysandu FC;Tacuarembo Futbol Club;02/08/2001;0;0;F;Paysandu FC (Uruguay);Tacuarembo Futbol Club (Uruguay);E;2001;8
Danubio;Nacional;03/08/2001;1;0;F;Danubio (Uruguay);Nacional (Uruguay);L;2001;8
Bella Vista;CA Juventud;04/08/2001;2;4;F;Bella Vista (Uruguay);CA Juventud (Uruguay);V;2001;8
CA Penarol;CA Fenix;04/08/2001;0;0;F;CA Penarol (Uruguay);CA Fenix (Uruguay);E;2001;8
Defensor Sporting;Paysandu FC;04/08/2001;4;1;F;Defensor Sporting (Uruguay);Paysandu FC (Uruguay);L;2001;8
Tacuarembo Futbol Club;Montevideo Wanderers;04/08/2001;0;1;F;Tacuarembo Futbol Club (Uruguay);Montevideo Wanderers (Uruguay);V;2001;8
Nacional;Paysandu FC;06/08/2001;2;0;F;Nacional (Uruguay);Paysandu FC (Uruguay);L;2001;8
CA Fenix;Tacuarembo Futbol Club;07/08/2001;3;1;F;CA Fenix (Uruguay);Tacuarembo Futbol Club (Uruguay);L;2001;8
CA Juventud;Montevideo Wanderers;07/08/2001;1;2;F;CA Juventud (Uruguay);Montevideo Wanderers (Uruguay);V;2001;8
CA Penarol;Defensor Sporting;07/08/2001;2;2;F;CA Penarol (Uruguay);Defensor Sporting (Uruguay);E;2001;8
Danubio;Bella Vista;07/08/2001;4;1;F;Danubio (Uruguay);Bella Vista (Uruguay);L;2001;8
Defensor Sporting;CA Fenix;16/08/2001;1;2;F;Defensor Sporting (Uruguay);CA Fenix (Uruguay);V;2001;8
Montevideo Wanderers;Bella Vista;16/08/2001;2;1;F;Montevideo Wanderers (Uruguay);Bella Vista (Uruguay);L;2001;8
Nacional;CA Juventud;16/08/2001;2;0;F;Nacional (Uruguay);CA Juventud (Uruguay);L;2001;8
Paysandu FC;Danubio;16/08/2001;0;2;F;Paysandu FC (Uruguay);Danubio (Uruguay);V;2001;8
Bella Vista;CA Penarol;19/08/2001;0;2;F;Bella Vista (Uruguay);CA Penarol (Uruguay);V;2001;8
Montevideo Wanderers;CA Fenix;19/08/2001;3;1;F;Montevideo Wanderers (Uruguay);CA Fenix (Uruguay);L;2001;8
Paysandu FC;CA Juventud;19/08/2001;2;2;F;Paysandu FC (Uruguay);CA Juventud (Uruguay);E;2001;8
Tacuarembo Futbol Club;Nacional;19/08/2001;1;3;F;Tacuarembo Futbol Club (Uruguay);Nacional (Uruguay);V;2001;8
CA Fenix;Bella Vista;22/08/2001;1;4;F;CA Fenix (Uruguay);Bella Vista (Uruguay);V;2001;8
CA Juventud;Defensor Sporting;22/08/2001;1;4;F;CA Juventud (Uruguay);Defensor Sporting (Uruguay);V;2001;8
Danubio;Tacuarembo Futbol Club;22/08/2001;1;0;F;Danubio (Uruguay);Tacuarembo Futbol Club (Uruguay);L;2001;8
Nacional;Montevideo Wanderers;22/08/2001;1;0;F;Nacional (Uruguay);Montevideo Wanderers (Uruguay);L;2001;8
Bella Vista;Nacional;25/08/2001;3;2;F;Bella Vista (Uruguay);Nacional (Uruguay);L;2001;8
CA Penarol;Paysandu FC;25/08/2001;3;0;F;CA Penarol (Uruguay);Paysandu FC (Uruguay);L;2001;8
Danubio;CA Juventud;25/08/2001;4;0;F;Danubio (Uruguay);CA Juventud (Uruguay);L;2001;8
Defensor Sporting;Tacuarembo Futbol Club;25/08/2001;2;2;F;Defensor Sporting (Uruguay);Tacuarembo Futbol Club (Uruguay);E;2001;8
CA Penarol;Montevideo Wanderers;27/08/2001;1;1;F;CA Penarol (Uruguay);Montevideo Wanderers (Uruguay);E;2001;8
Defensor Sporting;Danubio;28/08/2001;0;0;F;Defensor Sporting (Uruguay);Danubio (Uruguay);E;2001;8
Paysandu FC;CA Fenix;28/08/2001;0;5;F;Paysandu FC (Uruguay);CA Fenix (Uruguay);V;2001;8
CA Penarol;Tacuarembo Futbol Club;29/08/2001;3;1;F;CA Penarol (Uruguay);Tacuarembo Futbol Club (Uruguay);L;2001;8
Montevideo Wanderers;Paysandu FC;05/09/2001;1;0;F;Montevideo Wanderers (Uruguay);Paysandu FC (Uruguay);L;2001;9
CA Fenix;CA Juventud;06/09/2001;3;1;F;CA Fenix (Uruguay);CA Juventud (Uruguay);L;2001;9
CA Penarol;Danubio;06/09/2001;3;2;F;CA Penarol (Uruguay);Danubio (Uruguay);L;2001;9
Defensor Sporting;Nacional;06/09/2001;1;2;F;Defensor Sporting (Uruguay);Nacional (Uruguay);V;2001;9
Tacuarembo Futbol Club;Bella Vista;06/09/2001;1;0;F;Tacuarembo Futbol Club (Uruguay);Bella Vista (Uruguay);L;2001;9
Paysandu FC;Bella Vista;08/09/2001;2;0;F;Paysandu FC (Uruguay);Bella Vista (Uruguay);L;2001;9
