home,away,date,gh,ga,full_time,winner,year,month
Bella Vista,Montevideo Wanderers,1932-10-08,1,0,F,L,1932,10
CA Penarol,Nacional,1932-10-08,2,0,F,L,1932,10
Central Espanol,Racing Club,1932-10-08,3,2,F,L,1932,10
Defensor Sporting,Institucion Atletica Sud America,1932-10-08,3,1,F,L,1932,10
River Plate,Rampla Juniors Futbol Club,1932-10-08,2,2,F,E,1932,10
Montevideo Wanderers,Defensor Sporting,1933-03-04,1,1,F,E,1933,3
Nacional,Bella Vista,1933-03-04,4,0,F,L,1933,3
Racing Club,Central Espanol,1933-03-04,3,3,F,E,1933,3
Rampla Juniors Futbol Club,CA Penarol,1933-03-04,1,0,F,L,1933,3
River Plate,Institucion Atletica Sud America,1933-03-04,2,0,F,L,1933,3
Bella Vista,Racing Club,1933-03-11,4,3,F,L,1933,3
CA Penarol,Montevideo Wanderers,1933-03-11,4,2,F,L,1933,3
Defensor Sporting,Institucion Atletica Sud America,1933-03-11,4,2,F,L,1933,3
Nacional,Central Espanol,1933-03-11,2,0,F,L,1933,3
Rampla Juniors Futbol Club,River Plate,1933-03-11,2,0,F,L,1933,3
Bella Vista,Montevideo Wanderers,1933-03-18,2,3,F,V,1933,3
CA Penarol,Racing Club,1933-03-18,7,1,F,L,1933,3
Nacional,Institucion Atletica Sud America,1933-03-18,0,0,F,E,1933,3
Rampla Juniors Futbol Club,Central Espanol,1933-03-18,2,1,F,L,1933,3
River Plate,Defensor Sporting,1933-03-18,0,1,F,V,1933,3
Bella Vista,Defensor Sporting,1933-03-25,0,1,F,V,1933,3
CA Penarol,Central Espanol,1933-03-25,2,0,F,L,1933,3
Montevideo Wanderers,Racing Club,1933-03-25,2,0,F,L,1933,3
Nacional,River Plate,1933-03-25,2,0,F,L,1933,3
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1933-03-25,1,1,F,E,1933,3
Bella Vista,Institucion Atletica Sud America,1933-04-01,0,1,F,V,1933,4
CA Penarol,River Plate,1933-04-01,0,0,F,E,1933,4
Montevideo Wanderers,Central Espanol,1933-04-01,0,0,F,E,1933,4
Nacional,Rampla Juniors Futbol Club,1933-04-01,2,0,F,L,1933,4
Racing Club,Defensor Sporting,1933-04-01,4,2,F,L,1933,4
CA Penarol,Bella Vista,1933-04-08,2,0,F,L,1933,4
Institucion Atletica Sud America,Central Espanol,1933-04-08,2,1,F,L,1933,4
Montevideo Wanderers,River Plate,1933-04-08,3,1,F,L,1933,4
Nacional,Racing Club,1933-04-08,2,0,F,L,1933,4
Rampla Juniors Futbol Club,Defensor Sporting,1933-04-08,0,2,F,V,1933,4
Bella Vista,River Plate,1933-04-15,0,0,F,E,1933,4
Defensor Sporting,Central Espanol,1933-04-15,1,1,F,E,1933,4
Montevideo Wanderers,Institucion Atletica Sud America,1933-04-15,1,0,F,L,1933,4
Nacional,CA Penarol,1933-04-15,2,0,F,L,1933,4
Rampla Juniors Futbol Club,Racing Club,1933-04-15,1,1,F,E,1933,4
Bella Vista,Central Espanol,1933-04-22,2,0,F,L,1933,4
CA Penarol,Institucion Atletica Sud America,1933-04-22,5,1,F,L,1933,4
Nacional,Defensor Sporting,1933-04-22,3,0,F,L,1933,4
Racing Club,River Plate,1933-04-22,1,0,F,L,1933,4
Rampla Juniors Futbol Club,Montevideo Wanderers,1933-04-22,2,0,F,L,1933,4
CA Penarol,Defensor Sporting,1933-04-29,2,1,F,L,1933,4
Institucion Atletica Sud America,Racing Club,1933-04-29,2,1,F,L,1933,4
Nacional,Montevideo Wanderers,1933-04-29,3,0,F,L,1933,4
Rampla Juniors Futbol Club,Bella Vista,1933-04-29,1,2,F,V,1933,4
River Plate,Central Espanol,1933-04-29,1,1,F,E,1933,4
CA Penarol,Central Espanol,1933-05-06,5,0,F,L,1933,5
Institucion Atletica Sud America,Racing Club,1933-05-06,1,0,F,L,1933,5
Montevideo Wanderers,Defensor Sporting,1933-05-06,3,2,F,L,1933,5
Nacional,River Plate,1933-05-06,7,0,F,L,1933,5
Rampla Juniors Futbol Club,Bella Vista,1933-05-06,2,0,F,L,1933,5
CA Penarol,Institucion Atletica Sud America,1933-05-13,3,0,F,L,1933,5
Defensor Sporting,Rampla Juniors Futbol Club,1933-05-13,1,1,F,E,1933,5
Montevideo Wanderers,Bella Vista,1933-05-13,2,0,F,L,1933,5
Nacional,Central Espanol,1933-05-13,1,0,F,L,1933,5
River Plate,Racing Club,1933-05-13,1,1,F,E,1933,5
CA Penarol,Rampla Juniors Futbol Club,1933-05-20,3,0,F,L,1933,5
Central Espanol,Bella Vista,1933-05-20,4,0,F,L,1933,5
Institucion Atletica Sud America,Defensor Sporting,1933-05-20,1,1,F,E,1933,5
Montevideo Wanderers,River Plate,1933-05-20,2,2,F,E,1933,5
Nacional,Racing Club,1933-05-20,3,0,F,L,1933,5
CA Penarol,Bella Vista,1933-05-27,3,1,F,L,1933,5
Central Espanol,River Plate,1933-05-27,2,1,F,L,1933,5
Defensor Sporting,Racing Club,1933-05-27,4,1,F,L,1933,5
Nacional,Montevideo Wanderers,1933-05-27,1,1,F,E,1933,5
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1933-05-27,1,0,F,L,1933,5
CA Penarol,Nacional,1933-06-03,2,2,F,E,1933,6
Central Espanol,Montevideo Wanderers,1933-06-03,2,2,F,E,1933,6
Defensor Sporting,River Plate,1933-06-03,5,0,F,L,1933,6
Institucion Atletica Sud America,Bella Vista,1933-06-03,2,0,F,L,1933,6
Rampla Juniors Futbol Club,Racing Club,1933-06-03,1,0,F,L,1933,6
CA Penarol,Racing Club,1933-06-10,5,1,F,L,1933,6
Defensor Sporting,Central Espanol,1933-06-10,2,0,F,L,1933,6
Institucion Atletica Sud America,Montevideo Wanderers,1933-06-10,2,1,F,L,1933,6
Nacional,Bella Vista,1933-06-10,4,2,F,L,1933,6
Rampla Juniors Futbol Club,River Plate,1933-06-10,3,0,F,L,1933,6
CA Penarol,Defensor Sporting,1933-06-17,3,1,F,L,1933,6
Central Espanol,Racing Club,1933-06-17,3,2,F,L,1933,6
Montevideo Wanderers,Rampla Juniors Futbol Club,1933-06-17,2,1,F,L,1933,6
Nacional,Institucion Atletica Sud America,1933-06-17,1,0,F,L,1933,6
River Plate,Bella Vista,1933-06-17,1,0,F,L,1933,6
Bella Vista,Racing Club,1933-06-24,2,0,F,L,1933,6
CA Penarol,Montevideo Wanderers,1933-06-24,2,2,F,E,1933,6
Central Espanol,Rampla Juniors Futbol Club,1933-06-24,1,0,F,L,1933,6
Nacional,Defensor Sporting,1933-06-24,2,0,F,L,1933,6
River Plate,Institucion Atletica Sud America,1933-06-24,3,1,F,L,1933,6
CA Penarol,River Plate,1933-08-05,4,0,F,L,1933,8
Defensor Sporting,Bella Vista,1933-08-05,4,3,F,L,1933,8
Institucion Atletica Sud America,Central Espanol,1933-08-05,3,2,F,L,1933,8
Montevideo Wanderers,Racing Club,1933-08-05,3,1,F,L,1933,8
