source_line,date,home,away,gh,ga,full_time,exact_duplicate,ambiguous_fixture,extra_time_or_penalties,team_date_warning,included,reason
7721,1996-03-16,Liverpool,CA Penarol,2,5,F,False,False,False,True,True,included
7722,1996-03-16,Danubio,Nacional,1,2,F,False,True,False,True,False,ambiguous_fixture
7723,1996-03-16,Defensor Sporting,Rampla Juniors Futbol Club,3,0,F,False,False,False,True,True,included
7724,1996-03-16,River Plate,Club Social Y Deportivo Huracan Buceo,0,0,F,False,False,False,True,True,included
7725,1996-03-23,Nacional,River Plate,4,1,F,False,False,False,True,True,included
7726,1996-03-23,Central Espanol,Rampla Juniors Futbol Club,1,2,F,False,False,False,True,True,included
7728,1996-03-23,CA Cerro,CA Penarol,2,4,F,False,False,False,True,True,included
7729,1996-03-23,Defensor Sporting,Club Social Y Deportivo Huracan Buceo,1,1,F,False,False,False,True,True,included
7730,1996-03-23,Liverpool,Danubio,1,1,F,False,False,False,True,True,included
7731,1996-03-23,Liverpool,Club Social Y Deportivo Huracan Buceo,1,0,F,False,False,False,True,True,included
7732,1996-03-23,Rampla Juniors Futbol Club,Nacional,1,5,F,False,False,False,True,True,included
7733,1996-03-23,River Plate,Danubio,2,0,F,False,False,False,True,True,included
7734,1996-03-23,CA Penarol,Defensor Sporting,0,1,F,False,False,False,True,True,included
7735,1996-03-30,Central Espanol,River Plate,1,1,F,False,False,False,True,True,included
7736,1996-03-30,Institucion Atletica Sud America,Club Social Y Deportivo Huracan Buceo,0,0,F,False,False,False,True,True,included
7737,1996-03-30,CA Penarol,Nacional,2,0,F,False,False,False,True,True,included
7738,1996-03-30,Danubio,CA Cerro,0,0,F,False,False,False,True,True,included
7739,1996-03-30,Montevideo Wanderers,Defensor Sporting,1,1,F,False,False,False,True,True,included
7740,1996-03-30,Rampla Juniors Futbol Club,Liverpool,2,1,F,False,False,False,True,True,included
7741,1996-03-30,Rampla Juniors Futbol Club,River Plate,1,4,F,False,False,False,True,True,included
7742,1996-03-30,CA Penarol,Club Social Y Deportivo Huracan Buceo,0,0,F,False,False,False,True,True,included
7743,1996-03-30,Danubio,Liverpool,3,1,F,False,False,False,True,True,included
7744,1996-03-30,Nacional,Defensor Sporting,2,1,F,False,False,False,True,True,included
7745,1996-04-06,Club Social Y Deportivo Huracan Buceo,CA Penarol,2,3,F,False,False,False,True,True,included
7746,1996-04-06,Institucion Atletica Sud America,Rampla Juniors Futbol Club,0,0,F,False,False,False,True,True,included
7748,1996-04-06,Danubio,River Plate,1,1,F,False,False,False,True,True,included
7749,1996-04-06,Defensor Sporting,CA Cerro,4,1,F,False,False,False,True,True,included
7750,1996-04-06,Liverpool,Nacional,0,3,F,False,False,False,True,True,included
7751,1996-04-06,Nacional,CA Penarol,2,0,F,False,False,False,True,True,included
7752,1996-04-06,Danubio,Rampla Juniors Futbol Club,3,0,F,False,False,False,True,True,included
7753,1996-04-06,River Plate,Liverpool,2,2,F,False,False,False,True,True,included
7754,1996-04-06,Club Social Y Deportivo Huracan Buceo,Defensor Sporting,0,4,F,False,False,False,True,True,included
7756,1996-04-13,Nacional,Defensor Sporting,1,3,F,False,False,False,True,True,included
7757,1996-04-13,Danubio,CA Penarol,1,0,F,False,False,False,True,True,included
7758,1996-04-13,Rampla Juniors Futbol Club,River Plate,2,2,F,False,False,False,True,True,included
7759,1996-04-13,Montevideo Wanderers,Liverpool,0,2,F,False,False,False,True,True,included
7760,1996-04-13,CA Cerro,Club Social Y Deportivo Huracan Buceo,0,3,F,False,False,False,True,True,included
7761,1996-04-13,Nacional,Liverpool,4,2,F,False,False,False,True,True,included
7762,1996-04-13,Danubio,Defensor Sporting,1,0,F,False,False,False,True,True,included
7763,1996-04-13,Rampla Juniors Futbol Club,Club Social Y Deportivo Huracan Buceo,0,5,F,False,False,False,True,True,included
7764,1996-04-13,CA Penarol,River Plate,3,0,F,False,False,False,True,True,included
7872,1997-03-22,CA Penarol,Rentistas,3,0,F,False,False,False,True,True,included
7877,1997-03-22,CA Penarol,Racing Club,4,0,F,False,False,False,True,True,included
7878,1997-03-22,Racing Club,Rampla Juniors Futbol Club,0,1,F,False,False,False,True,True,included
7981,1997-08-30,CA Penarol,Nacional,3,2,F,False,False,False,True,True,included
7982,1997-08-30,CA Penarol,Defensor Sporting,1,0,F,False,True,False,True,False,ambiguous_fixture
7983,1997-08-30,CA Penarol,Defensor Sporting,3,0,F,False,True,False,True,False,ambiguous_fixture
7984,1997-08-30,River Plate,Defensor Sporting,2,2,F,False,False,False,True,True,included
7985,1997-08-30,Liverpool,Nacional,0,3,F,False,False,False,True,True,included
7988,1997-09-13,CA Penarol,River Plate,3,1,F,False,False,False,True,True,included
7989,1997-09-13,Nacional,Club Social Y Deportivo Huracan Buceo,4,1,F,False,False,False,True,True,included
