model,parameters,variant,variant_rank,n_features,decision,validacion,n_train,n_validacion,train_accuracy,train_macro_f1,accuracy,macro_f1,draw_f1,draw_recall,true_draws,predicted_draws,confusion_matrix
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,never_draw,2022,14108,297,0.4802239863907003,0.36123930825851347,0.468013468013468,0.3598290598290598,0.0,0.0,79,0,"[[0, 39, 40], [0, 71, 35], [0, 44, 68]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,three_class,2023,14405,300,0.4737244012495661,0.40546366717160526,0.37666666666666665,0.35047619047619044,0.2,0.15053763440860216,93,47,"[[14, 37, 42], [18, 60, 41], [15, 34, 39]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,never_draw,2023,14405,300,0.4794168691426588,0.360758083019235,0.38333333333333336,0.2983084952524681,0.0,0.0,93,0,"[[0, 45, 48], [0, 71, 48], [0, 44, 44]]"
CategoricalNB,"{""alpha"": 0.025}",plus_draw_rates,4,8,three_class,2021,13744,364,0.4739522700814901,0.4073929987732629,0.4258241758241758,0.3781880472021317,0.13513513513513514,0.09900990099009901,101,47,"[[10, 45, 46], [20, 69, 49], [17, 32, 76]]"
CategoricalNB,"{""alpha"": 0.025}",plus_draw_rates,4,8,never_draw,2021,13744,364,0.4802823050058207,0.36073433199348975,0.45054945054945056,0.348559486490521,0.0,0.0,101,0,"[[0, 53, 48], [0, 78, 60], [0, 39, 86]]"
CategoricalNB,"{""alpha"": 0.025}",plus_draw_rates,4,8,three_class,2022,14108,297,0.4741990360079388,0.40615330653787235,0.46464646464646464,0.42349340866290014,0.22033898305084745,0.16455696202531644,79,39,"[[13, 34, 32], [15, 60, 31], [11, 36, 65]]"
CategoricalNB,"{""alpha"": 0.025}",plus_draw_rates,4,8,never_draw,2022,14108,297,0.4802239863907003,0.36123930825851347,0.468013468013468,0.3598290598290598,0.0,0.0,79,0,"[[0, 39, 40], [0, 71, 35], [0, 44, 68]]"
CategoricalNB,"{""alpha"": 0.025}",plus_draw_rates,4,8,three_class,2023,14405,300,0.4737244012495661,0.40546366717160526,0.37666666666666665,0.35047619047619044,0.2,0.15053763440860216,93,47,"[[14, 37, 42], [18, 60, 41], [15, 34, 39]]"
CategoricalNB,"{""alpha"": 0.025}",plus_draw_rates,4,8,never_draw,2023,14405,300,0.4794168691426588,0.360758083019235,0.38333333333333336,0.2983084952524681,0.0,0.0,93,0,"[[0, 45, 48], [0, 71, 48], [0, 44, 44]]"
NB propio,"{""m"": 0.1}",without_home_history,5,5,three_class,2021,13744,364,0.4863213038416764,0.38979703926981807,0.43956043956043955,0.35472116311834934,0.05357142857142857,0.0297029702970297,101,11,"[[3, 60, 38], [3, 94, 41], [5, 57, 63]]"
NB propio,"{""m"": 0.1}",without_home_history,5,5,never_draw,2021,13744,364,0.48726717112922,0.3621043734835061,0.4423076923076923,0.3402991232594121,0.0,0.0,101,0,"[[0, 60, 41], [0, 94, 44], [0, 58, 67]]"
NB propio,"{""m"": 0.1}",without_home_history,5,5,three_class,2022,14108,297,0.48695775446555145,0.38450911758243883,0.4511784511784512,0.36259763043242393,0.04395604395604396,0.02531645569620253,79,12,"[[2, 46, 31], [6, 77, 23], [4, 53, 55]]"
NB propio,"{""m"": 0.1}",without_home_history,5,5,never_draw,2022,14108,297,0.4863198185426708,0.36181956796368064,0.45791245791245794,0.3508456863401617,0.0,0.0,79,0,"[[0, 46, 33], [0, 77, 29], [0, 53, 59]]"
NB propio,"{""m"": 0.1}",without_home_history,5,5,three_class,2023,14405,300,0.48601180145782713,0.3623744417850536,0.38333333333333336,0.2934943639291465,0.0,0.0,93,0,"[[0, 54, 39], [0, 77, 42], [0, 50, 38]]"
NB propio,"{""m"": 0.1}",without_home_history,5,5,never_draw,2023,14405,300,0.48601180145782713,0.3623744417850536,0.38333333333333336,0.2934943639291465,0.0,0.0,93,0,"[[0, 54, 39], [0, 77, 42], [0, 50, 38]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_history,5,5,three_class,2021,13744,364,0.4863213038416764,0.38979703926981807,0.43956043956043955,0.35472116311834934,0.05357142857142857,0.0297029702970297,101,11,"[[3, 60, 38], [3, 94, 41], [5, 57, 63]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_history,5,5,never_draw,2021,13744,364,0.48726717112922,0.3621043734835061,0.4423076923076923,0.3402991232594121,0.0,0.0,101,0,"[[0, 60, 41], [0, 94, 44], [0, 58, 67]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_history,5,5,three_class,2022,14108,297,0.48695775446555145,0.38450911758243883,0.4511784511784512,0.36259763043242393,0.04395604395604396,0.02531645569620253,79,12,"[[2, 46, 31], [6, 77, 23], [4, 53, 55]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_history,5,5,never_draw,2022,14108,297,0.4863198185426708,0.36181956796368064,0.45791245791245794,0.3508456863401617,0.0,0.0,79,0,"[[0, 46, 33], [0, 77, 29], [0, 53, 59]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_history,5,5,three_class,2023,14405,300,0.48601180145782713,0.3623744417850536,0.38333333333333336,0.2934943639291465,0.0,0.0,93,0,"[[0, 54, 39], [0, 77, 42], [0, 50, 38]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_history,5,5,never_draw,2023,14405,300,0.48601180145782713,0.3623744417850536,0.38333333333333336,0.2934943639291465,0.0,0.0,93,0,"[[0, 54, 39], [0, 77, 42], [0, 50, 38]]"
NB propio,"{""m"": 0.1}",without_home_h2h,6,5,three_class,2021,13744,364,0.4783905704307334,0.39379737927390285,0.4340659340659341,0.358454866422872,0.06666666666666667,0.039603960396039604,101,19,"[[4, 56, 41], [8, 88, 42], [7, 52, 66]]"
NB propio,"{""m"": 0.1}",without_home_h2h,6,5,never_draw,2021,13744,364,0.4791909196740396,0.3528279341137573,0.4478021978021978,0.34424242424242424,0.0,0.0,101,0,"[[0, 60, 41], [0, 96, 42], [0, 58, 67]]"
NB propio,"{""m"": 0.1}",without_home_h2h,6,5,three_class,2022,14108,297,0.47986957754465553,0.37594621783537024,0.46464646464646464,0.36956970492721714,0.046511627906976744,0.02531645569620253,79,7,"[[2, 47, 30], [1, 81, 24], [4, 53, 55]]"
NB propio,"{""m"": 0.1}",without_home_h2h,6,5,never_draw,2022,14108,297,0.47965693223702865,0.35467637523163237,0.4612794612794613,0.35223367697594504,0.0,0.0,79,0,"[[0, 48, 31], [0, 81, 25], [0, 56, 56]]"
NB propio,"{""m"": 0.1}",without_home_h2h,6,5,three_class,2023,14405,300,0.4787920860812218,0.37535739562889153,0.38333333333333336,0.3040817632978921,0.038461538461538464,0.021505376344086023,93,11,"[[2, 56, 35], [4, 79, 36], [5, 49, 34]]"
NB propio,"{""m"": 0.1}",without_home_h2h,6,5,never_draw,2023,14405,300,0.4790697674418605,0.3544726066382786,0.39,0.29366467553326076,0.0,0.0,93,0,"[[0, 58, 35], [0, 83, 36], [0, 54, 34]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_h2h,6,5,three_class,2021,13744,364,0.4783905704307334,0.39379737927390285,0.4340659340659341,0.358454866422872,0.06666666666666667,0.039603960396039604,101,19,"[[4, 56, 41], [8, 88, 42], [7, 52, 66]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_h2h,6,5,never_draw,2021,13744,364,0.4791909196740396,0.3528279341137573,0.4478021978021978,0.34424242424242424,0.0,0.0,101,0,"[[0, 60, 41], [0, 96, 42], [0, 58, 67]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_h2h,6,5,three_class,2022,14108,297,0.47986957754465553,0.37594621783537024,0.46464646464646464,0.36956970492721714,0.046511627906976744,0.02531645569620253,79,7,"[[2, 47, 30], [1, 81, 24], [4, 53, 55]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_h2h,6,5,never_draw,2022,14108,297,0.47965693223702865,0.35467637523163237,0.4612794612794613,0.35223367697594504,0.0,0.0,79,0,"[[0, 48, 31], [0, 81, 25], [0, 56, 56]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_h2h,6,5,three_class,2023,14405,300,0.4787920860812218,0.37535739562889153,0.38333333333333336,0.3040817632978921,0.038461538461538464,0.021505376344086023,93,11,"[[2, 56, 35], [4, 79, 36], [5, 49, 34]]"
CategoricalNB,"{""alpha"": 0.025}",without_home_h2h,6,5,never_draw,2023,14405,300,0.4790697674418605,0.3544726066382786,0.39,0.29366467553326076,0.0,0.0,93,0,"[[0, 58, 35], [0, 83, 36], [0, 54, 34]]"
