model,parameters,variant,variant_rank,n_features,decision,validacion,n_train,n_validacion,train_accuracy,train_macro_f1,accuracy,macro_f1,draw_f1,draw_recall,true_draws,predicted_draws,confusion_matrix
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,never_draw,2022,14108,297,0.48483130138928265,0.3646747061264988,0.4882154882154882,0.37498991366093765,0.0,0.0,79,0,"[[0, 43, 36], [0, 78, 28], [0, 45, 67]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,three_class,2023,14405,300,0.4785838250607428,0.4066377052930907,0.37666666666666665,0.3233185814841942,0.0847457627118644,0.053763440860215055,93,25,"[[5, 45, 43], [9, 66, 44], [11, 35, 42]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,never_draw,2023,14405,300,0.4848316556751128,0.3649441356668864,0.4,0.3118418292427103,0.0,0.0,93,0,"[[0, 47, 46], [0, 73, 46], [0, 41, 47]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_goal_difference,2,8,three_class,2021,13744,364,0.6089930151338766,0.6015363471967986,0.4423076923076923,0.4277997059051157,0.3,0.297029702970297,101,99,"[[30, 25, 46], [42, 53, 43], [27, 20, 78]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_goal_difference,2,8,never_draw,2021,13744,364,0.5405267753201397,0.41329255756555144,0.4532967032967033,0.3500263177682532,0.0,0.0,101,0,"[[0, 42, 59], [0, 73, 65], [0, 33, 92]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_goal_difference,2,8,three_class,2022,14108,297,0.6097958605046782,0.6025898159065681,0.45454545454545453,0.4236393793271877,0.23943661971830985,0.21518987341772153,79,63,"[[17, 22, 40], [31, 46, 29], [15, 25, 72]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_goal_difference,2,8,never_draw,2022,14108,297,0.540119081372271,0.4132217732208034,0.48484848484848486,0.3717468724317414,0.0,0.0,79,0,"[[0, 33, 46], [0, 63, 43], [0, 31, 81]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_goal_difference,2,8,three_class,2023,14405,300,0.6100659493231517,0.6025272192220895,0.39,0.387607813973361,0.32786885245901637,0.3225806451612903,93,90,"[[30, 20, 43], [35, 42, 42], [25, 18, 45]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_goal_difference,2,8,never_draw,2023,14405,300,0.5398819854217286,0.4131424487741168,0.38,0.3004048582995951,0.0,0.0,93,0,"[[0, 34, 59], [0, 60, 59], [0, 34, 54]]"
ID3,"{""min_info_gain"": 0.005}",plus_points_and_goals,3,10,three_class,2021,13744,364,0.6209254947613504,0.593889385138816,0.45879120879120877,0.44022092995824386,0.30927835051546393,0.297029702970297,101,93,"[[30, 44, 27], [27, 85, 26], [36, 37, 52]]"
ID3,"{""min_info_gain"": 0.005}",plus_points_and_goals,3,10,never_draw,2021,13744,364,0.5630820721769499,0.4242187204909406,0.4532967032967033,0.34607699294347793,0.0,0.0,101,0,"[[0, 63, 38], [0, 103, 35], [0, 63, 62]]"
ID3,"{""min_info_gain"": 0.005}",plus_points_and_goals,3,10,three_class,2022,14108,297,0.6198610717323504,0.5928448289414042,0.4006734006734007,0.3881330258046285,0.2893081761006289,0.2911392405063291,79,80,"[[23, 40, 16], [22, 57, 27], [35, 38, 39]]"
ID3,"{""min_info_gain"": 0.005}",plus_points_and_goals,3,10,never_draw,2022,14108,297,0.5627303657499291,0.4240103966830471,0.3872053872053872,0.2942118863049095,0.0,0.0,79,0,"[[0, 55, 24], [0, 71, 35], [0, 68, 44]]"
ID3,"{""min_info_gain"": 0.005}",plus_points_and_goals,3,10,three_class,2023,14405,300,0.6208261020479,0.5950846506775881,0.38666666666666666,0.3722036362740206,0.2857142857142857,0.24731182795698925,93,68,"[[23, 42, 28], [31, 60, 28], [14, 41, 33]]"
ID3,"{""min_info_gain"": 0.005}",plus_points_and_goals,3,10,never_draw,2023,14405,300,0.5623047552933009,0.42432354307518055,0.41,0.3094777562862669,0.0,0.0,93,0,"[[0, 61, 32], [0, 87, 32], [0, 52, 36]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,three_class,2021,13744,364,0.4746071012805588,0.41708737980944216,0.41483516483516486,0.3735858670297038,0.1610738255033557,0.1188118811881188,101,48,"[[12, 47, 42], [17, 73, 48], [19, 40, 66]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,never_draw,2021,13744,364,0.4828288707799767,0.3630413292412154,0.43956043956043955,0.34002434330865006,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 50, 75]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,three_class,2022,14108,297,0.47349021831584914,0.4133778397501631,0.4781144781144781,0.4312247009177319,0.21238938053097345,0.1518987341772152,79,34,"[[12, 38, 29], [14, 69, 23], [8, 43, 61]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,never_draw,2022,14108,297,0.4820669123901333,0.36286480943511895,0.4781144781144781,0.3670975489157307,0.0,0.0,79,0,"[[0, 43, 36], [0, 77, 29], [0, 47, 65]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,three_class,2023,14405,300,0.47247483512669214,0.4125050744732211,0.39,0.3525843384282586,0.16923076923076924,0.11827956989247312,93,37,"[[11, 42, 40], [12, 66, 41], [14, 34, 40]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,never_draw,2023,14405,300,0.4817077403679278,0.36291100316904373,0.4066666666666667,0.31715963918607093,0.0,0.0,93,0,"[[0, 47, 46], [0, 74, 45], [0, 40, 48]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,three_class,2021,13744,364,0.4746071012805588,0.41708737980944216,0.41483516483516486,0.3735858670297038,0.1610738255033557,0.1188118811881188,101,48,"[[12, 47, 42], [17, 73, 48], [19, 40, 66]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,never_draw,2021,13744,364,0.4828288707799767,0.3630413292412154,0.43956043956043955,0.34002434330865006,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 50, 75]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,three_class,2022,14108,297,0.47349021831584914,0.4133778397501631,0.4781144781144781,0.4312247009177319,0.21238938053097345,0.1518987341772152,79,34,"[[12, 38, 29], [14, 69, 23], [8, 43, 61]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,never_draw,2022,14108,297,0.4820669123901333,0.36286480943511895,0.4781144781144781,0.3670975489157307,0.0,0.0,79,0,"[[0, 43, 36], [0, 77, 29], [0, 47, 65]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,three_class,2023,14405,300,0.47247483512669214,0.4125050744732211,0.39,0.3525843384282586,0.16923076923076924,0.11827956989247312,93,37,"[[11, 42, 40], [12, 66, 41], [14, 34, 40]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,never_draw,2023,14405,300,0.4817077403679278,0.36291100316904373,0.4066666666666667,0.31715963918607093,0.0,0.0,93,0,"[[0, 47, 46], [0, 74, 45], [0, 40, 48]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points_and_goals,3,10,three_class,2021,13744,364,0.6245634458672875,0.6185728446633149,0.45604395604395603,0.4413983080772829,0.3163265306122449,0.3069306930693069,101,95,"[[31, 23, 47], [40, 56, 42], [24, 22, 79]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points_and_goals,3,10,never_draw,2021,13744,364,0.5465657741559954,0.4181446407369143,0.45604395604395603,0.35271867612293145,0.0,0.0,101,0,"[[0, 37, 64], [0, 74, 64], [0, 33, 92]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points_and_goals,3,10,three_class,2022,14108,297,0.6237595690388432,0.6171661869613877,0.4478114478114478,0.42174878128383037,0.2714285714285714,0.24050632911392406,79,61,"[[19, 20, 40], [25, 45, 36], [17, 26, 69]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points_and_goals,3,10,never_draw,2022,14108,297,0.5474199036007938,0.4189732186097972,0.4781144781144781,0.36661792778522395,0.0,0.0,79,0,"[[0, 32, 47], [0, 62, 44], [0, 32, 80]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points_and_goals,3,10,three_class,2023,14405,300,0.6257549461992363,0.6191333255811258,0.39,0.38740816881821205,0.3225806451612903,0.3225806451612903,93,93,"[[30, 19, 44], [38, 40, 41], [25, 16, 47]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points_and_goals,3,10,never_draw,2023,14405,300,0.5461992363762582,0.4179268878959997,0.4,0.31642045336491514,0.0,0.0,93,0,"[[0, 33, 60], [0, 62, 57], [0, 30, 58]]"
ID3,"{""min_info_gain"": 0.005}",plus_draw_rates,4,8,three_class,2021,13744,364,0.6298748544819558,0.6038547905025125,0.3791208791208791,0.36205980229430185,0.2926829268292683,0.297029702970297,101,104,"[[30, 50, 21], [33, 75, 30], [41, 51, 33]]"
ID3,"{""min_info_gain"": 0.005}",plus_draw_rates,4,8,never_draw,2021,13744,364,0.5702124563445867,0.42882928578509577,0.39285714285714285,0.2937386680426261,0.0,0.0,101,0,"[[0, 70, 31], [0, 98, 40], [0, 80, 45]]"
ID3,"{""min_info_gain"": 0.005}",plus_draw_rates,4,8,three_class,2022,14108,297,0.6280124751913808,0.6027289226235072,0.4006734006734007,0.38594088449845065,0.2962962962962963,0.3037974683544304,79,83,"[[24, 32, 23], [28, 61, 17], [31, 47, 34]]"
ID3,"{""min_info_gain"": 0.005}",plus_draw_rates,4,8,never_draw,2022,14108,297,0.5681173802098101,0.4277181746978482,0.39730639730639733,0.29672174141096247,0.0,0.0,79,0,"[[0, 52, 27], [0, 79, 27], [0, 73, 39]]"
ID3,"{""min_info_gain"": 0.005}",plus_draw_rates,4,8,three_class,2023,14405,300,0.6253384241582783,0.6009042399048062,0.44,0.4270655270655271,0.4222222222222222,0.40860215053763443,93,87,"[[38, 37, 18], [31, 66, 22], [18, 42, 28]]"
ID3,"{""min_info_gain"": 0.005}",plus_draw_rates,4,8,never_draw,2023,14405,300,0.5667476570635196,0.42708570789706496,0.4,0.2980424217649998,0.0,0.0,93,0,"[[0, 65, 28], [0, 88, 31], [0, 56, 32]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,three_class,2021,13744,364,0.4739522700814901,0.4073929987732629,0.4258241758241758,0.3781880472021317,0.13513513513513514,0.09900990099009901,101,47,"[[10, 45, 46], [20, 69, 49], [17, 32, 76]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,never_draw,2021,13744,364,0.4802823050058207,0.36073433199348975,0.45054945054945056,0.348559486490521,0.0,0.0,101,0,"[[0, 53, 48], [0, 78, 60], [0, 39, 86]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,three_class,2022,14108,297,0.4741990360079388,0.40615330653787235,0.46464646464646464,0.42349340866290014,0.22033898305084745,0.16455696202531644,79,39,"[[13, 34, 32], [15, 60, 31], [11, 36, 65]]"
