date,home,away,winner,model,joint_log_E,log_probability_E,joint_log_L,log_probability_L,joint_log_V,log_probability_V
2024-11-08,CA Cerro,Deportivo Maldonado,E,NB propio,-11.626957117375946,-0.9217873528982512,-11.594818142882449,-0.889648378404754,-12.35859904628273,-1.6534292818050353
2024-11-09,CA Penarol,Liverpool,L,NB propio,-12.470852459552177,-2.734591516204107,-9.809779603691162,-0.07351866034309218,-14.858833100459465,-5.122572157111396
2024-11-09,Cerro Largo FC,River Plate,L,NB propio,-11.782578942197713,-0.9085329522940206,-11.867133295068705,-0.9930873051650124,-12.359261506352336,-1.485215516448644
2024-11-09,Racing Club,Nacional,V,NB propio,-12.228189245183598,-1.9158686488879333,-12.792780366990248,-2.4804597706945835,-10.574879100707225,-0.2625585044115599
2024-11-09,Rampla Juniors Futbol Club,Danubio,V,NB propio,-11.089137909300817,-0.8222588569626481,-11.373340962639933,-1.106461910301764,-11.737272412641127,-1.4703933603029586
2024-11-10,CA Progreso,Montevideo Wanderers,E,NB propio,-11.652201644375092,-0.9572745930922704,-11.96155724823511,-1.2666301969522884,-11.790695627774273,-1.0957685764914515
2024-11-10,Defensor Sporting,CA Fenix,L,NB propio,-12.104851213924263,-1.1934972343578245,-11.851353794146199,-0.9399998145797603,-12.09482863722919,-1.1834746576627513
2024-11-10,Miramar Misiones,Boston River,L,NB propio,-12.224683196892975,-1.9550274662174907,-13.393324939055951,-3.1236692083804662,-10.474905377053506,-0.20524964637802157
2024-11-12,Deportivo Maldonado,Racing Club,V,NB propio,-12.023762459351662,-1.2078127837773067,-13.022506900472546,-2.206557224898191,-11.341769129100213,-0.5258194535258571
2024-11-13,CA Fenix,Nacional,V,NB propio,-12.311505591551892,-2.295994163053278,-13.732482544128697,-3.7169711156300824,-10.149007108388329,-0.13349567988971422
2024-11-13,Cerro Largo FC,Liverpool,E,NB propio,-12.01162874695243,-1.0676629051724227,-11.532351740100657,-0.5883858983206487,-13.236935770624186,-2.292969928844178
2024-11-13,River Plate,Miramar Misiones,E,NB propio,-12.450533794047871,-0.9205535758650232,-12.458811762364293,-0.9288315441814454,-13.106532296311698,-1.5765520781288505
2024-11-14,Boston River,Rampla Juniors Futbol Club,L,NB propio,-12.090375183265714,-1.613099344201455,-10.770432217098087,-0.293156378033828,-13.380876451008506,-2.9036006119442472
2024-11-14,Danubio,CA Cerro,E,NB propio,-11.632937411989687,-1.1800616374434423,-10.982645139978693,-0.5297693654324487,-12.716245320705903,-2.263369546159659
2024-11-14,Defensor Sporting,CA Progreso,L,NB propio,-12.270677922271279,-2.166786312285943,-10.247123677541609,-0.14323206755627282,-14.07238365369975,-3.9684920437144147
2024-11-14,Montevideo Wanderers,CA Penarol,V,NB propio,-11.82190589876665,-2.023138731683561,-13.316583489040525,-3.5178163219574365,-9.975389661646616,-0.17662249456352797
2024-11-16,Nacional,Deportivo Maldonado,L,NB propio,-12.881566277589892,-3.0795503133048943,-9.852474212010845,-0.05045824772584773,-15.538390084205886,-5.736374119920889
2024-11-17,CA Penarol,Defensor Sporting,L,NB propio,-12.873471380331027,-1.9409272747128146,-11.234768186577133,-0.3022240809589203,-13.075932730513703,-2.14338862489549
2024-11-17,Miramar Misiones,Liverpool,E,NB propio,-11.822064276114126,-0.9205645987386504,-11.968336356169978,-1.0668366787945018,-12.257805746999269,-1.356306069623793
2024-11-17,Racing Club,Danubio,E,NB propio,-12.17343997078524,-1.3220195026258548,-11.762179620127418,-0.9107591519680316,-11.956499004519706,-1.1050785363603204
2024-11-18,CA Cerro,Boston River,E,NB propio,-11.532039825458165,-1.6168268023120635,-12.637954512375991,-2.7227414892298896,-10.222039961255724,-0.3068269381096229
2024-11-18,CA Progreso,CA Fenix,E,NB propio,-12.010867147846422,-1.0007680137533121,-12.573343772013157,-1.5632446379200466,-11.870606056899952,-0.8605069228068416
2024-11-19,Cerro Largo FC,Montevideo Wanderers,L,NB propio,-12.006128171046887,-1.0598641710889716,-11.65737614577709,-0.7111121458191736,-12.763960506396039,-1.8176965064381232
2024-11-19,Rampla Juniors Futbol Club,River Plate,V,NB propio,-11.898800226188364,-0.8971673138936715,-11.867447061587747,-0.8658141492930547,-12.764407744073587,-1.762774831778895
2024-11-26,Montevideo Wanderers,Miramar Misiones,L,NB propio,-11.778757539691227,-0.9534189715458741,-12.359842576524336,-1.534504008378983,-11.7440913448614,-0.9187527767160475
2024-11-26,Rampla Juniors Futbol Club,Liverpool,V,NB propio,-11.48808640815065,-0.817458887453677,-11.824752453268065,-1.1541249325710918,-12.084850760327166,-1.4142232396301928
2024-11-26,River Plate,CA Cerro,L,NB propio,-11.555970446010104,-0.8604888433775528,-11.622624754703459,-0.9271431520709079,-12.40274060617113,-1.7072590035385797
2024-11-27,Boston River,Racing Club,V,NB propio,-12.306167632327615,-1.1613312804976381,-11.852978583868676,-0.7081422320386999,-12.782815352458213,-1.6379790006282366
2024-11-27,CA Fenix,Deportivo Maldonado,V,NB propio,-11.964327748566006,-0.9174588658479799,-12.073811133790496,-1.0269422510724695,-12.46417224412549,-1.4173033614074626
2024-11-27,CA Progreso,CA Penarol,V,NB propio,-11.684389742494728,-2.2295840042631507,-13.183476189651486,-3.7286704514199087,-9.595906192642449,-0.14110045441087138
2024-11-27,Cerro Largo FC,Defensor Sporting,L,NB propio,-12.09202795978912,-1.418486534567469,-12.409695618119075,-1.7361541928974251,-11.215302035544251,-0.5417606103226014
2024-11-28,Danubio,Nacional,E,NB propio,-12.162661722805952,-1.6636365120905658,-12.5864162947875,-2.087391084072113,-10.875114600655323,-0.3760893899399367
2024-11-30,CA Cerro,Liverpool,V,NB propio,-11.938649081593624,-0.9511874256687314,-12.082873535823797,-1.0954118798989043,-12.262872873060756,-1.2754112171358631
2024-11-30,Cerro Largo FC,CA Progreso,L,NB propio,-12.206115975955006,-1.6144754421332426,-10.868301489035714,-0.2766609552139503,-13.745351063347709,-3.153710529525945
2024-11-30,Miramar Misiones,Defensor Sporting,E,NB propio,-11.67735831769292,-1.0526224715169992,-12.4010835832687,-1.7763477370927792,-11.355120689793269,-0.7303848436173475
2024-11-30,Rampla Juniors Futbol Club,Montevideo Wanderers,E,NB propio,-11.635011368128641,-0.8351444219941602,-11.95763464111601,-1.1577676949815299,-12.178187519599657,-1.3783205734651762
2024-12-01,CA Penarol,CA Fenix,L,NB propio,-12.841283282211391,-2.890762341187811,-10.012849245160757,-0.062328304137176715,-15.270722165645527,-5.320201224621947
2024-12-01,Nacional,Boston River,L,NB propio,-12.958912877495779,-2.2822064297449263,-10.82421480081514,-0.14750835306428733,-14.026659633107876,-3.3499531853570232
2024-12-01,Racing Club,River Plate,L,NB propio,-12.318639330600204,-1.2918822294028072,-11.709310440224419,-0.682553339027022,-12.541240465750889,-1.5144833645534916
2024-12-02,Deportivo Maldonado,Danubio,L,NB propio,-11.929380334310734,-1.720327329518133,-13.217311677905872,-3.0082586731132714,-10.46832273171124,-0.2592697269186388
2025-01-31,Cerro Largo FC,CA Juventud,E,NB propio,-12.666086783845016,-2.2845296226303073,-10.506514389182906,-0.12495722796819742,-14.539263028013451,-4.157705866798743
